Circuit delay: 3251.66 ps

Gate slacks:
INP-n136: 3321.14 ps
NAND-n137: 3031.63 ps
INP-n138: 3321.14 ps
NAND-n139: 3031.63 ps
INP-n140: 3448.53 ps
NAND-n141: 3031.63 ps
INP-n142: 3448.53 ps
NAND-n143: 3031.63 ps
INP-n144: 3448.53 ps
NAND-n145: 3031.63 ps
INP-n146: 3448.53 ps
NAND-n147: 3031.63 ps
INP-n148: 3448.53 ps
NAND-n149: 3031.63 ps
INP-n150: 3448.53 ps
NAND-n151: 3031.63 ps
INP-n152: 3448.53 ps
NAND-n153: 3031.63 ps
INP-n154: 3486.40 ps
NAND-n155: 3031.63 ps
INP-n156: 3337.41 ps
NAND-n157: 3031.63 ps
INP-n158: 3337.41 ps
NAND-n159: 3031.63 ps
INP-n160: 3337.41 ps
NAND-n161: 3031.63 ps
INP-n162: 3337.41 ps
NAND-n163: 3031.63 ps
INP-n164: 3337.41 ps
NAND-n165: 3031.63 ps
INP-n166: 3337.41 ps
NAND-n167: 3031.63 ps
INP-n168: 3337.41 ps
NAND-n169: 3031.63 ps
INP-n170: 3337.41 ps
NAND-n171: 3031.63 ps
INP-n172: 3364.28 ps
NAND-n173: 3031.63 ps
INP-n174: 3364.28 ps
NAND-n175: 3031.63 ps
INP-n176: 3364.28 ps
NAND-n177: 3031.63 ps
INP-n178: 3364.28 ps
NAND-n179: 3031.63 ps
INP-n180: 3364.28 ps
NAND-n181: 3031.63 ps
INP-n182: 3364.28 ps
NAND-n183: 3031.63 ps
INP-n184: 3364.28 ps
NAND-n185: 3031.63 ps
INP-n186: 3364.28 ps
NAND-n187: 3031.63 ps
INP-n188: 2891.14 ps
NAND-n189: 3099.02 ps
INP-n190: 2891.14 ps
NAND-n191: 3031.63 ps
INP-n192: 2891.14 ps
NAND-n193: 3164.94 ps
INP-n194: 2897.60 ps
NAND-n195: 2884.00 ps
INP-n196: 3320.52 ps
NAND-n197: 2884.00 ps
INP-n198: 3320.52 ps
NAND-n199: 2884.00 ps
INP-n200: 3320.52 ps
NAND-n201: 2884.00 ps
INP-n202: 3320.52 ps
NAND-n203: 2884.00 ps
INP-n204: 3320.52 ps
NAND-n205: 2884.00 ps
INP-n206: 3320.52 ps
NAND-n207: 2884.00 ps
INP-n208: 3320.52 ps
NAND-n209: 2884.00 ps
INP-n210: 3268.15 ps
NAND-n211: 2884.00 ps
INP-n212: 3447.94 ps
NAND-n213: 2884.00 ps
INP-n214: 3447.94 ps
NAND-n215: 2884.00 ps
INP-n216: 3447.94 ps
NAND-n217: 2884.00 ps
INP-n218: 3447.94 ps
NAND-n219: 2884.00 ps
INP-n220: 3447.94 ps
NAND-n221: 2884.00 ps
INP-n222: 3447.94 ps
NAND-n223: 2884.00 ps
INP-n224: 3447.94 ps
NAND-n225: 2884.00 ps
INP-n226: 3485.93 ps
NAND-n227: 2884.00 ps
INP-n228: 3336.98 ps
NAND-n229: 2884.00 ps
INP-n230: 3336.98 ps
NAND-n231: 2884.00 ps
INP-n232: 3336.98 ps
NAND-n233: 2884.00 ps
INP-n234: 3336.98 ps
NAND-n235: 2884.00 ps
INP-n236: 3336.98 ps
NAND-n237: 2884.00 ps
INP-n238: 3336.98 ps
NAND-n239: 2884.00 ps
INP-n240: 3336.98 ps
NAND-n241: 2884.00 ps
INP-n242: 3285.43 ps
NAND-n243: 2884.00 ps
INP-n244: 3358.13 ps
NAND-n245: 2884.00 ps
INP-n246: 3358.13 ps
NAND-n247: 2884.00 ps
INP-n248: 3358.13 ps
NAND-n249: 2884.00 ps
INP-n250: 3358.13 ps
NAND-n251: 2884.00 ps
INP-n252: 3358.13 ps
NAND-n253: 2884.00 ps
INP-n254: 3358.13 ps
NAND-n255: 2884.00 ps
INP-n256: 3358.13 ps
NAND-n257: 2884.00 ps
INP-n258: 3363.85 ps
NAND-n259: 2884.00 ps
INP-n260: 3321.14 ps
NAND-n261: 3031.63 ps
INP-n262: 3321.14 ps
NAND-n263: 3031.63 ps
INP-n264: 3321.14 ps
NAND-n265: 3031.63 ps
INP-n266: 3321.14 ps
NAND-n267: 3031.63 ps
INP-n268: 3321.14 ps
NAND-n269: 3031.63 ps
INP-n270: 3321.14 ps
NAND-n271: 3031.63 ps
INP-n272: 3321.14 ps
NAND-n273: 3031.63 ps
INP-n274: 3321.14 ps
NAND-n275: 3031.63 ps
INP-n276: 3448.53 ps
NAND-n277: 3031.63 ps
INP-n278: 3448.53 ps
NAND-n279: 3031.63 ps
INP-n280: 3448.53 ps
NAND-n281: 3031.63 ps
INP-n282: 3448.53 ps
NAND-n283: 3031.63 ps
INP-n284: 3448.53 ps
NAND-n285: 3031.63 ps
INP-n286: 3448.53 ps
NAND-n287: 3031.63 ps
INP-n288: 3448.53 ps
NAND-n289: 3031.63 ps
INP-n290: 3486.40 ps
NAND-n291: 3031.63 ps
INP-n292: 3337.41 ps
NAND-n293: 3031.63 ps
INP-n294: 3337.41 ps
NAND-n295: 3031.63 ps
INP-n296: 3337.41 ps
NAND-n297: 3031.63 ps
INP-n298: 3337.41 ps
NAND-n299: 3031.63 ps
INP-n300: 3337.41 ps
NAND-n301: 3031.63 ps
INP-n302: 3337.41 ps
NAND-n303: 3031.63 ps
INP-n304: 3337.41 ps
NAND-n305: 3031.63 ps
INP-n306: 3337.41 ps
NAND-n307: 3031.63 ps
INP-n308: 3364.28 ps
NAND-n309: 3031.63 ps
INP-n310: 3364.28 ps
NAND-n311: 3031.63 ps
INP-n312: 3364.28 ps
NAND-n313: 3031.63 ps
INP-n314: 3364.28 ps
NAND-n315: 3031.63 ps
INP-n316: 3364.28 ps
NAND-n317: 3031.63 ps
INP-n318: 3364.28 ps
NAND-n319: 3031.63 ps
INP-n320: 3364.28 ps
NAND-n321: 3031.63 ps
INP-n322: 3364.28 ps
NAND-n323: 3031.63 ps
INP-n324: 2891.14 ps
NAND-n325: 3099.02 ps
INP-n326: 2891.14 ps
NAND-n327: 3031.63 ps
INP-n328: 2891.14 ps
NAND-n329: 3164.94 ps
INP-n330: 2891.14 ps
NAND-n331: 2884.00 ps
INP-n332: 1540.59 ps
NAND-n333: 3161.54 ps
INP-n334: 1515.66 ps
NAND-n335: 3161.54 ps
INP-n336: 1540.59 ps
NAND-n337: 3161.54 ps
INP-n338: 1515.66 ps
NAND-n339: 3161.54 ps
INP-n340: 1515.66 ps
NAND-n341: 3161.54 ps
INP-n342: 1515.66 ps
NAND-n343: 3161.54 ps
INP-n344: 1515.66 ps
NAND-n345: 3161.54 ps
INP-n346: 1540.59 ps
NAND-n347: 3161.54 ps
INP-n348: 1540.59 ps
NAND-n349: 3161.54 ps
INP-n350: 1540.59 ps
NAND-n351: 3161.54 ps
INP-n352: 1515.66 ps
NAND-n353: 3161.54 ps
INP-n354: 1515.66 ps
NAND-n355: 3161.54 ps
INP-n356: 1515.66 ps
NAND-n357: 3161.54 ps
INP-n358: 1515.66 ps
NAND-n359: 3161.54 ps
INP-n360: 1540.59 ps
NAND-n361: 3161.54 ps
INP-n362: 1540.59 ps
NAND-n363: 3161.54 ps
INP-n364: 1540.59 ps
NAND-n365: 3161.54 ps
INP-n366: 1515.66 ps
NAND-n367: 3161.54 ps
INP-n368: 1515.66 ps
NAND-n369: 3161.54 ps
INP-n370: 1515.66 ps
NAND-n371: 3161.54 ps
INP-n372: 1540.59 ps
NAND-n373: 3161.54 ps
INP-n374: 1540.59 ps
NAND-n375: 3161.54 ps
INP-n376: 1515.66 ps
NAND-n377: 3161.54 ps
INP-n378: 1515.66 ps
NAND-n379: 3161.54 ps
INP-n380: 1515.66 ps
NAND-n381: 3161.54 ps
INP-n382: 1515.66 ps
NAND-n383: 3161.54 ps
INP-n384: 1540.59 ps
NAND-n385: 3161.54 ps
INP-n386: 1540.59 ps
NAND-n387: 3161.54 ps
INP-n388: 1652.82 ps
NAND-n389: 3161.54 ps
INP-n390: 1992.35 ps
NAND-n391: 3161.54 ps
INP-n392: 2042.63 ps
NAND-n393: 3161.54 ps
INP-n394: 1550.73 ps
NAND-n395: 3161.54 ps
INP-n396: 2848.69 ps
NAND-n397: 2982.65 ps
INP-n398: 2862.10 ps
NAND-n399: 2982.65 ps
INP-n400: 2755.72 ps
AND-n401: 3009.16 ps
INP-n402: 2755.72 ps
AND-n403: 3009.16 ps
INP-n404: 2755.72 ps
AND-n405: 3009.16 ps
INP-n406: 2755.72 ps
AND-n407: 3009.16 ps
INP-n408: 2755.72 ps
AND-n409: 3009.16 ps
INP-n410: 2794.93 ps
AND-n411: 3009.16 ps
INP-n412: 2794.93 ps
AND-n413: 3009.16 ps
INP-n414: 2794.93 ps
AND-n415: 3009.16 ps
INP-n416: 2755.72 ps
AND-n417: 3009.16 ps
INP-n418: 2755.72 ps
AND-n419: 3009.16 ps
INP-n420: 2755.72 ps
AND-n421: 3009.16 ps
INP-n422: 2755.72 ps
AND-n423: 3009.16 ps
INP-n424: 2755.72 ps
AND-n425: 3009.16 ps
INP-n426: 2755.72 ps
AND-n427: 3009.16 ps
INP-n428: 2755.72 ps
AND-n429: 3009.16 ps
INP-n430: 2755.72 ps
AND-n431: 3009.16 ps
INP-n432: 2755.72 ps
AND-n433: 3009.16 ps
INP-n434: 2755.72 ps
AND-n435: 3009.16 ps
INP-n436: 2755.72 ps
AND-n437: 3009.16 ps
INP-n438: 2755.72 ps
AND-n439: 3009.16 ps
INP-n440: 2794.93 ps
AND-n441: 3009.16 ps
INP-n442: 2794.93 ps
AND-n443: 3009.16 ps
INP-n444: 2794.93 ps
AND-n445: 3009.16 ps
INP-n446: 2755.72 ps
AND-n447: 3009.16 ps
INP-n448: 2755.72 ps
AND-n449: 3009.16 ps
INP-n450: 2755.72 ps
AND-n451: 3009.16 ps
INP-n452: 2755.72 ps
AND-n453: 3009.16 ps
INP-n454: 2755.72 ps
AND-n455: 3009.16 ps
INP-n456: 2755.72 ps
AND-n457: 3009.16 ps
INP-n458: 2755.72 ps
AND-n459: 3009.16 ps
INP-n460: 2383.62 ps
NAND-n461: 2410.27 ps
INP-n462: 2404.38 ps
NAND-n463: 2410.27 ps
INP-n464: 2366.69 ps
NAND-n465: 2410.27 ps
INP-n466: 2336.72 ps
NAND-n467: 2410.27 ps
INP-n468: 2422.97 ps
NAND-n469: 2407.75 ps
INP-n470: 2352.30 ps
NAND-n471: 2362.05 ps
INP-n472: 2383.49 ps
NAND-n473: 2348.33 ps
INP-n474: 2468.34 ps
NAND-n475: 2356.23 ps
INP-n476: 2466.01 ps
NAND-n477: 2342.51 ps
INP-n478: 2513.68 ps
NAND-n479: 2317.04 ps
INP-n480: 2495.40 ps
NAND-n481: 2271.34 ps
INP-n482: 2496.94 ps
NAND-n483: 2254.69 ps
INP-n484: 2593.17 ps
NAND-n485: 2214.19 ps
INP-n486: 2625.16 ps
NAND-n487: 2177.04 ps
INP-n488: 2663.90 ps
NAND-n489: 2139.89 ps
INP-n490: 2615.31 ps
NAND-n491: 2102.74 ps
INP-n492: 2654.61 ps
NAND-n493: 2068.94 ps
INP-n494: 2745.35 ps
NAND-n495: 2031.79 ps
INP-n496: 2841.72 ps
NAND-n497: 1994.64 ps
INP-n498: 2784.99 ps
NAND-n499: 1954.14 ps
INP-n500: 2832.07 ps
NAND-n501: 1916.99 ps
INP-n502: 2799.44 ps
NAND-n503: 1879.84 ps
INP-n504: 2770.44 ps
NAND-n505: 1842.69 ps
INP-n506: 2750.96 ps
NAND-n507: 1808.89 ps
INP-n508: 2765.44 ps
NAND-n509: 1771.74 ps
INP-n510: 2737.10 ps
NAND-n511: 1734.59 ps
INP-n512: 2812.51 ps
NAND-n513: 1697.44 ps
INP-n514: 2787.45 ps
NAND-n515: 1660.29 ps
INP-n516: 2823.93 ps
NAND-n517: 1623.14 ps
INP-n518: 2846.97 ps
NAND-n519: 1585.99 ps
INP-n520: 2617.26 ps
NAND-n521: 1572.58 ps
INP-n522: 2604.83 ps
NAND-n523: 1515.66 ps
INP-n524: 2383.62 ps
NAND-n525: 2410.27 ps
INP-n526: 2404.38 ps
NAND-n527: 2410.27 ps
INP-n528: 2366.69 ps
NAND-n529: 2410.27 ps
INP-n530: 2336.72 ps
NAND-n531: 2410.27 ps
INP-n532: 2422.97 ps
NAND-n533: 2407.75 ps
INP-n534: 2352.30 ps
NAND-n535: 2362.05 ps
INP-n536: 2383.49 ps
NAND-n537: 2348.33 ps
INP-n538: 2468.34 ps
NAND-n539: 2356.23 ps
INP-n540: 2466.01 ps
NAND-n541: 2342.51 ps
INP-n542: 2513.68 ps
NAND-n543: 2317.04 ps
INP-n544: 2495.40 ps
NAND-n545: 2271.34 ps
INP-n546: 2496.94 ps
NAND-n547: 2254.69 ps
INP-n548: 2593.17 ps
NAND-n549: 2214.19 ps
INP-n550: 2625.16 ps
NAND-n551: 2177.04 ps
INP-n552: 2663.90 ps
NAND-n553: 2139.89 ps
INP-n554: 2615.31 ps
NAND-n555: 2102.74 ps
INP-n556: 2654.61 ps
NAND-n557: 2068.94 ps
INP-n558: 2745.35 ps
NAND-n559: 2031.79 ps
INP-n560: 2841.72 ps
NAND-n561: 1994.64 ps
INP-n562: 2784.99 ps
NAND-n563: 1954.14 ps
INP-n564: 2832.07 ps
NAND-n565: 1916.99 ps
INP-n566: 2799.44 ps
NAND-n567: 1879.84 ps
INP-n568: 2770.44 ps
NAND-n569: 1842.69 ps
INP-n570: 2750.96 ps
NAND-n571: 1808.89 ps
INP-n572: 2765.44 ps
NAND-n573: 1771.74 ps
INP-n574: 2737.10 ps
NAND-n575: 1734.59 ps
INP-n576: 2812.51 ps
NAND-n577: 1697.44 ps
INP-n578: 2787.45 ps
NAND-n579: 1660.29 ps
INP-n580: 2823.93 ps
NAND-n581: 1623.14 ps
INP-n582: 2846.97 ps
NAND-n583: 1585.99 ps
INP-n584: 2617.26 ps
NAND-n585: 1572.58 ps
INP-n586: 2604.83 ps
NAND-n587: 1515.66 ps
INP-n588: 2383.62 ps
NAND-n589: 2208.80 ps
INP-n590: 2404.38 ps
NAND-n591: 2208.80 ps
INP-n592: 2366.69 ps
NAND-n593: 2208.80 ps
INP-n594: 2336.72 ps
NAND-n595: 2208.80 ps
INP-n596: 2422.97 ps
NAND-n597: 2208.80 ps
INP-n598: 2352.30 ps
NAND-n599: 2208.80 ps
INP-n600: 2383.49 ps
NAND-n601: 2208.80 ps
INP-n602: 2468.34 ps
NAND-n603: 2208.80 ps
INP-n604: 2466.01 ps
NAND-n605: 2208.80 ps
INP-n606: 2513.68 ps
NAND-n607: 2208.80 ps
INP-n608: 2495.40 ps
NAND-n609: 2208.80 ps
INP-n610: 2496.94 ps
NAND-n611: 2208.80 ps
INP-n612: 2593.17 ps
NAND-n613: 2208.80 ps
INP-n614: 2625.16 ps
NAND-n615: 2208.80 ps
INP-n616: 2663.90 ps
NAND-n617: 2173.58 ps
INP-n618: 2615.31 ps
NAND-n619: 2136.43 ps
INP-n620: 2654.61 ps
NAND-n621: 2099.28 ps
INP-n622: 2745.35 ps
NAND-n623: 2062.13 ps
INP-n624: 2841.72 ps
NAND-n625: 2024.98 ps
INP-n626: 2784.99 ps
NAND-n627: 1987.83 ps
INP-n628: 2832.07 ps
NAND-n629: 1950.68 ps
INP-n630: 2799.44 ps
NAND-n631: 1913.53 ps
INP-n632: 2770.44 ps
NAND-n633: 1876.38 ps
INP-n634: 2750.96 ps
NAND-n635: 1839.23 ps
INP-n636: 2765.44 ps
NAND-n637: 1802.08 ps
INP-n638: 2737.10 ps
NAND-n639: 1764.93 ps
INP-n640: 2812.51 ps
NAND-n641: 1727.78 ps
INP-n642: 2787.45 ps
NAND-n643: 1690.63 ps
INP-n644: 2823.93 ps
NAND-n645: 1653.48 ps
INP-n646: 2846.97 ps
NAND-n647: 1616.33 ps
INP-n648: 2617.26 ps
NAND-n649: 1605.99 ps
INP-n650: 2604.83 ps
NAND-n651: 1574.30 ps
INP-n652: 3469.32 ps
NAND-n653: 2593.89 ps
INP-n654: 3339.32 ps
NAND-n655: 2593.89 ps
INP-n656: 3333.25 ps
NAND-n657: 2593.89 ps
INP-n658: 3192.99 ps
NAND-n659: 2593.89 ps
INP-n660: 3187.74 ps
NAND-n661: 2593.89 ps
INP-n662: 3093.40 ps
NAND-n663: 2593.89 ps
INP-n664: 2998.48 ps
NAND-n665: 2593.89 ps
INP-n666: 2903.02 ps
NAND-n667: 2593.89 ps
INP-n668: 2851.45 ps
NAND-n669: 2593.89 ps
INP-n670: 2750.20 ps
NAND-n671: 2593.89 ps
INP-n672: 2618.30 ps
NAND-n673: 2593.89 ps
INP-n674: 2553.94 ps
NAND-n675: 2593.89 ps
INP-n676: 2459.46 ps
NAND-n677: 2593.89 ps
INP-n678: 2357.46 ps
NAND-n679: 2605.16 ps
INP-n680: 2262.48 ps
NAND-n681: 2605.16 ps
INP-n682: 2173.69 ps
NAND-n683: 2605.16 ps
INP-n684: 2079.10 ps
NAND-n685: 2605.16 ps
INP-n686: 1964.96 ps
NAND-n687: 2605.16 ps
INP-n688: 1824.11 ps
NAND-n689: 2605.16 ps
INP-n690: 1826.64 ps
NAND-n691: 2605.16 ps
INP-n692: -300.74 ps
NAND-n693: 2854.38 ps
INP-n694: -300.74 ps
NAND-n695: 2852.11 ps
INP-n696: -300.74 ps
NAND-n697: 2796.08 ps
INP-n698: -349.99 ps
NAND-n699: 2769.89 ps
INP-n700: -349.99 ps
NAND-n701: 2803.24 ps
INP-n702: -300.74 ps
NAND-n703: 2769.89 ps
INP-n704: -349.99 ps
NAND-n705: 2803.24 ps
INP-n706: -349.99 ps
NAND-n707: 2806.62 ps
INP-n708: -349.99 ps
NAND-n709: 2806.62 ps
INP-n710: -349.99 ps
NAND-n711: 2803.24 ps
INP-n712: -300.74 ps
NAND-n713: 2815.67 ps
INP-n714: -300.74 ps
NAND-n715: 2824.99 ps
INP-n716: -349.99 ps
NAND-n717: 2803.24 ps
INP-n718: -349.99 ps
NAND-n719: 2795.75 ps
INP-n720: -300.74 ps
NAND-n721: 2806.62 ps
INP-n722: -300.74 ps
NAND-n723: 2769.89 ps
INP-n724: -349.99 ps
NAND-n725: 2803.24 ps
INP-n726: -349.99 ps
NAND-n727: 2775.14 ps
INP-n728: -349.99 ps
NAND-n729: 2756.37 ps
INP-n730: -300.74 ps
NAND-n731: 2697.45 ps
INP-n732: -349.99 ps
NAND-n733: 2682.07 ps
INP-n734: -300.74 ps
NAND-n735: 2615.65 ps
INP-n736: -349.99 ps
NAND-n737: 2552.62 ps
INP-n738: -349.99 ps
NAND-n739: 2552.24 ps
INP-n740: -349.99 ps
NAND-n741: 2533.47 ps
INP-n742: -300.74 ps
NAND-n743: 2474.55 ps
INP-n744: -300.74 ps
NAND-n745: 2433.29 ps
INP-n746: -349.99 ps
NAND-n747: 2381.92 ps
INP-n748: -213.38 ps
NAND-n749: 2343.30 ps
INP-n750: -183.55 ps
NAND-n751: 2439.02 ps
INP-n752: -183.55 ps
NAND-n753: 2991.08 ps
INP-n754: -157.79 ps
NAND-n755: 2991.08 ps
INP-n756: 2511.10 ps
NAND-n757: 1909.29 ps
INP-n758: 2317.70 ps
NAND-n759: 2063.56 ps
INP-n760: 2726.35 ps
NAND-n761: 1730.05 ps
INP-n762: 1983.35 ps
NAND-n763: 2332.18 ps
INP-n764: 2429.15 ps
NAND-n765: 1978.50 ps
INP-n766: 2367.77 ps
NAND-n767: 2433.79 ps
INP-n768: 2169.10 ps
NAND-n769: 2142.96 ps
INP-n770: 2577.75 ps
NAND-n771: 1893.44 ps
INP-n772: 2243.40 ps
NAND-n773: 2070.03 ps
INP-n774: 2503.45 ps
NAND-n775: 1887.45 ps
INP-n776: 2384.71 ps
NAND-n777: 2505.01 ps
INP-n778: 2094.80 ps
NAND-n779: 2252.95 ps
INP-n780: 1909.29 ps
NAND-n781: 2394.25 ps
INP-n782: 2652.05 ps
NAND-n783: 1803.07 ps
INP-n784: 2392.00 ps
NAND-n785: 1984.82 ps
INP-n786: 1946.20 ps
NAND-n787: 2356.46 ps
INP-n788: 2354.85 ps
NAND-n789: 2012.05 ps
INP-n790: 2689.20 ps
NAND-n791: 1757.28 ps
INP-n792: 2206.25 ps
NAND-n793: 2097.26 ps
INP-n794: 2540.60 ps
NAND-n795: 1860.22 ps
INP-n796: 2405.48 ps
NAND-n797: 2485.30 ps
INP-n798: 2057.65 ps
NAND-n799: 2298.63 ps
INP-n800: 2792.50 ps
NAND-n801: 1780.38 ps
INP-n802: 2466.30 ps
NAND-n803: 1933.14 ps
INP-n804: 1909.29 ps
NAND-n805: 2406.56 ps
INP-n806: 2131.95 ps
NAND-n807: 2188.32 ps
INP-n808: 2614.90 ps
NAND-n809: 1853.74 ps
INP-n810: 2280.55 ps
NAND-n811: 2103.25 ps
INP-n812: 2755.62 ps
NAND-n813: 1763.05 ps
INP-n814: 2020.50 ps
NAND-n815: 2304.96 ps
INP-n816: 2901.77 ps
NOT-n817: 3472.89 ps
INP-n818: 2868.71 ps
NAND-n819: 2960.00 ps
INP-n820: 1803.35 ps
NOT-n821: 2963.80 ps
INP-n822: 1702.44 ps
NAND-n823: 3161.54 ps
INP-n824: 1702.44 ps
NAND-n825: 3161.54 ps
INP-n826: 1702.44 ps
NAND-n827: 3161.54 ps
INP-n828: 1702.44 ps
NAND-n829: 3161.54 ps
INP-n830: 1702.44 ps
NAND-n831: 3161.54 ps
INP-n832: 1702.44 ps
NAND-n833: 3161.54 ps
INP-n834: 1702.44 ps
NAND-n835: 3161.54 ps
INP-n836: 1702.44 ps
NAND-n837: 3161.54 ps
INP-n838: 1702.44 ps
NAND-n839: 3161.54 ps
INP-n840: 1702.44 ps
NAND-n841: 3161.54 ps
INP-n842: 1702.44 ps
NAND-n843: 3161.54 ps
INP-n844: 1702.44 ps
NAND-n845: 3161.54 ps
INP-n846: 1702.44 ps
NAND-n847: 3161.54 ps
INP-n848: 1702.44 ps
NAND-n849: 3161.54 ps
INP-n850: 1702.44 ps
NAND-n851: 3161.54 ps
INP-n852: 1702.44 ps
NAND-n853: 3161.54 ps
INP-n854: 1702.44 ps
NAND-n855: 3161.54 ps
INP-n856: 1786.41 ps
NAND-n857: 3161.54 ps
INP-n858: 1786.41 ps
NAND-n859: 3161.54 ps
INP-n860: 1786.41 ps
NAND-n861: 3161.54 ps
INP-n862: 1786.41 ps
NAND-n863: 3161.54 ps
INP-n864: 1786.41 ps
NAND-n865: 3161.54 ps
INP-n866: 1786.41 ps
NAND-n867: 3161.54 ps
INP-n868: 1786.41 ps
NAND-n869: 3140.11 ps
INP-n870: 1786.41 ps
NAND-n871: 3116.63 ps
INP-n872: 1837.17 ps
NAND-n873: 3161.54 ps
INP-n874: 1837.17 ps
NAND-n875: 3161.54 ps
INP-n876: 1837.17 ps
NAND-n877: 3161.54 ps
INP-n878: 1906.49 ps
NAND-n879: 3161.54 ps
INP-n880: 2013.96 ps
NAND-n881: 3161.54 ps
INP-n882: 2098.68 ps
NAND-n883: 3161.54 ps
INP-n884: 1804.07 ps
NAND-n885: 3161.54 ps
INP-n886: 2848.69 ps
NAND-n887: 2830.24 ps
INP-n888: 2862.10 ps
NAND-n889: 2830.24 ps
INP-n890: 2755.72 ps
AND-n891: 2856.76 ps
INP-n892: 2755.72 ps
AND-n893: 2856.76 ps
INP-n894: 2755.72 ps
AND-n895: 2856.76 ps
INP-n896: 2755.72 ps
AND-n897: 2856.76 ps
INP-n898: 2755.72 ps
AND-n899: 2856.76 ps
INP-n900: 2794.93 ps
AND-n901: 2856.76 ps
INP-n902: 2794.93 ps
AND-n903: 2856.76 ps
INP-n904: 2794.93 ps
AND-n905: 2856.76 ps
