Circuit delay: 1810.24 ps

Gate slacks:
INP-n133: 1186.69 ps
AND-n134: 1230.05 ps
INP-n135: 1186.69 ps
AND-n136: 1230.05 ps
INP-n137: 1186.69 ps
AND-n138: 1230.05 ps
INP-n139: 1147.48 ps
AND-n140: 1230.05 ps
INP-n141: 1147.48 ps
AND-n142: 1230.05 ps
INP-n143: 1147.48 ps
AND-n144: 1230.05 ps
INP-n145: 1147.48 ps
AND-n146: 1230.05 ps
INP-n147: 1147.48 ps
AND-n148: 1230.05 ps
INP-n149: 1147.48 ps
AND-n150: 1230.05 ps
INP-n151: 1147.48 ps
AND-n152: 1230.05 ps
INP-n153: 1147.48 ps
AND-n154: 1230.05 ps
INP-n155: 1147.48 ps
AND-n156: 1230.05 ps
INP-n157: 1147.48 ps
AND-n158: 1230.05 ps
INP-n159: 1147.48 ps
AND-n160: 1230.05 ps
INP-n161: 1147.48 ps
AND-n162: 1230.05 ps
INP-n163: 1186.69 ps
AND-n164: 1230.05 ps
INP-n165: 1186.69 ps
AND-n166: 1230.05 ps
INP-n167: 1186.69 ps
AND-n168: 1230.05 ps
INP-n169: 1147.48 ps
AND-n170: 1230.05 ps
INP-n171: 1147.48 ps
AND-n172: 1230.05 ps
INP-n173: 1147.48 ps
AND-n174: 1230.05 ps
INP-n175: 1147.48 ps
AND-n176: 1230.05 ps
INP-n177: 1147.48 ps
AND-n178: 1230.05 ps
INP-n179: 1147.48 ps
AND-n180: 1230.05 ps
INP-n181: 1147.48 ps
AND-n182: 1230.05 ps
INP-n183: 625.16 ps
NAND-n184: 890.32 ps
INP-n185: 627.85 ps
NAND-n186: 890.32 ps
INP-n187: 908.64 ps
NAND-n188: 869.98 ps
INP-n189: 915.77 ps
NAND-n190: 856.26 ps
INP-n191: 1012.30 ps
NAND-n192: 830.78 ps
INP-n193: 970.76 ps
NAND-n194: 785.09 ps
INP-n195: 974.15 ps
NAND-n196: 771.37 ps
INP-n197: 1046.83 ps
NAND-n198: 779.27 ps
INP-n199: 1051.93 ps
NAND-n200: 765.55 ps
INP-n201: 1097.53 ps
NAND-n202: 740.07 ps
INP-n203: 1061.41 ps
NAND-n204: 694.38 ps
INP-n205: 1064.82 ps
NAND-n206: 680.65 ps
INP-n207: 1175.70 ps
NAND-n208: 700.37 ps
INP-n209: 1215.40 ps
NAND-n210: 660.67 ps
INP-n211: 1222.25 ps
NAND-n212: 615.32 ps
INP-n213: 1218.18 ps
NAND-n214: 569.62 ps
INP-n215: 1235.25 ps
NAND-n216: 555.90 ps
INP-n217: 1304.52 ps
NAND-n218: 575.61 ps
INP-n219: 1375.55 ps
NAND-n220: 529.93 ps
INP-n221: 1369.37 ps
NAND-n222: 465.29 ps
INP-n223: 1389.68 ps
NAND-n224: 425.60 ps
INP-n225: 1440.90 ps
NAND-n226: 380.24 ps
INP-n227: 1453.24 ps
NAND-n228: 334.55 ps
INP-n229: 1470.16 ps
NAND-n230: 320.83 ps
INP-n231: 1531.28 ps
NAND-n232: 340.54 ps
INP-n233: 1534.91 ps
NAND-n234: 300.85 ps
INP-n235: 1561.90 ps
NAND-n236: 243.62 ps
INP-n237: 1577.92 ps
NAND-n238: 229.90 ps
INP-n239: 1628.76 ps
NAND-n240: 210.37 ps
INP-n241: 1362.34 ps
NAND-n242: 238.59 ps
INP-n243: 991.90 ps
NAND-n244: 364.08 ps
INP-n245: 979.37 ps
NAND-n246: 343.38 ps
INP-n247: 625.16 ps
NAND-n248: 890.32 ps
INP-n249: 627.85 ps
NAND-n250: 890.32 ps
INP-n251: 908.64 ps
NAND-n252: 869.98 ps
INP-n253: 915.77 ps
NAND-n254: 856.26 ps
INP-n255: 1012.30 ps
NAND-n256: 830.78 ps
INP-n257: 970.76 ps
NAND-n258: 785.09 ps
INP-n259: 974.15 ps
NAND-n260: 771.37 ps
INP-n261: 1046.83 ps
NAND-n262: 779.27 ps
INP-n263: 1051.93 ps
NAND-n264: 765.55 ps
INP-n265: 1097.53 ps
NAND-n266: 740.07 ps
INP-n267: 1061.41 ps
NAND-n268: 694.38 ps
INP-n269: 1064.82 ps
NAND-n270: 680.65 ps
INP-n271: 1175.70 ps
NAND-n272: 700.37 ps
INP-n273: 1215.40 ps
NAND-n274: 660.67 ps
INP-n275: 1222.25 ps
NAND-n276: 615.32 ps
INP-n277: 1218.18 ps
NAND-n278: 569.62 ps
INP-n279: 1235.25 ps
NAND-n280: 555.90 ps
INP-n281: 1304.52 ps
NAND-n282: 575.61 ps
INP-n283: 1375.55 ps
NAND-n284: 529.93 ps
INP-n285: 1369.37 ps
NAND-n286: 465.29 ps
INP-n287: 1389.68 ps
NAND-n288: 425.60 ps
INP-n289: 1440.90 ps
NAND-n290: 380.24 ps
INP-n291: 1453.24 ps
NAND-n292: 334.55 ps
INP-n293: 1470.16 ps
NAND-n294: 320.83 ps
INP-n295: 1531.28 ps
NAND-n296: 340.54 ps
INP-n297: 1534.91 ps
NAND-n298: 300.85 ps
INP-n299: 1561.90 ps
NAND-n300: 243.62 ps
INP-n301: 1577.92 ps
NAND-n302: 229.90 ps
INP-n303: 1628.76 ps
NAND-n304: 210.37 ps
INP-n305: 1362.34 ps
NAND-n306: 238.59 ps
INP-n307: 991.90 ps
NAND-n308: 364.08 ps
INP-n309: 979.37 ps
NAND-n310: 343.38 ps
INP-n311: 625.16 ps
NAND-n312: 692.95 ps
INP-n313: 627.85 ps
NAND-n314: 692.95 ps
INP-n315: 908.64 ps
NAND-n316: 692.95 ps
INP-n317: 915.77 ps
NAND-n318: 692.95 ps
INP-n319: 1012.30 ps
NAND-n320: 692.95 ps
INP-n321: 970.76 ps
NAND-n322: 692.95 ps
INP-n323: 974.15 ps
NAND-n324: 692.95 ps
INP-n325: 1046.83 ps
NAND-n326: 692.95 ps
INP-n327: 1051.93 ps
NAND-n328: 692.95 ps
INP-n329: 1097.53 ps
NAND-n330: 666.18 ps
INP-n331: 1061.41 ps
NAND-n332: 666.18 ps
INP-n333: 1064.82 ps
NAND-n334: 684.94 ps
INP-n335: 1175.70 ps
NAND-n336: 692.95 ps
INP-n337: 1215.40 ps
NAND-n338: 664.96 ps
INP-n339: 1222.25 ps
NAND-n340: 619.60 ps
INP-n341: 1218.18 ps
NAND-n342: 547.28 ps
INP-n343: 1235.25 ps
NAND-n344: 533.56 ps
INP-n345: 1304.52 ps
NAND-n346: 579.90 ps
INP-n347: 1375.55 ps
NAND-n348: 534.22 ps
INP-n349: 1369.37 ps
NAND-n350: 442.95 ps
INP-n351: 1389.68 ps
NAND-n352: 403.26 ps
INP-n353: 1440.90 ps
NAND-n354: 357.90 ps
INP-n355: 1453.24 ps
NAND-n356: 312.21 ps
INP-n357: 1470.16 ps
NAND-n358: 298.49 ps
INP-n359: 1531.28 ps
NAND-n360: 318.20 ps
INP-n361: 1534.91 ps
NAND-n362: 278.51 ps
INP-n363: 1561.90 ps
NAND-n364: 221.28 ps
INP-n365: 1577.92 ps
NAND-n366: 207.56 ps
INP-n367: 1628.76 ps
NAND-n368: 188.03 ps
INP-n369: 1362.34 ps
NAND-n370: 215.74 ps
INP-n371: 991.90 ps
NAND-n372: 397.49 ps
INP-n373: 979.37 ps
NAND-n374: 376.79 ps
INP-n375: 270.76 ps
NAND-n376: 1164.41 ps
INP-n377: 1784.44 ps
NAND-n378: 1164.41 ps
INP-n379: 1686.74 ps
NAND-n380: 1164.41 ps
INP-n381: 1647.05 ps
NAND-n382: 1164.41 ps
INP-n383: 1626.82 ps
NAND-n384: 1164.41 ps
INP-n385: 1554.48 ps
NAND-n386: 1164.41 ps
INP-n387: 1472.24 ps
NAND-n388: 1164.41 ps
INP-n389: 1360.66 ps
NAND-n390: 1164.41 ps
INP-n391: 1320.97 ps
NAND-n392: 1164.41 ps
INP-n393: 1300.75 ps
NAND-n394: 1164.41 ps
INP-n395: 1199.06 ps
NAND-n396: 1164.41 ps
INP-n397: 1178.84 ps
NAND-n398: 1164.41 ps
INP-n399: 1077.15 ps
NAND-n400: 1164.41 ps
INP-n401: 1037.46 ps
NAND-n402: 1164.41 ps
INP-n403: 1017.23 ps
NAND-n404: 1164.41 ps
INP-n405: 915.55 ps
NAND-n406: 942.23 ps
INP-n407: 895.32 ps
NAND-n408: 1164.41 ps
INP-n409: 794.30 ps
NAND-n410: 942.23 ps
INP-n411: 752.58 ps
NAND-n412: 1164.41 ps
INP-n413: 731.55 ps
NAND-n414: 1164.41 ps
INP-n415: 336.84 ps
NAND-n416: 1008.41 ps
INP-n417: 342.94 ps
NAND-n418: 1008.41 ps
INP-n419: 328.54 ps
NAND-n420: 1008.41 ps
INP-n421: 339.19 ps
NAND-n422: 1008.41 ps
INP-n423: 344.83 ps
NAND-n424: 1008.41 ps
INP-n425: 351.33 ps
NAND-n426: 1008.41 ps
INP-n427: 384.41 ps
NAND-n428: 1008.41 ps
INP-n429: 370.06 ps
NAND-n430: 1008.41 ps
INP-n431: 373.21 ps
NAND-n432: 1008.41 ps
INP-n433: 406.29 ps
NAND-n434: 1008.41 ps
INP-n435: 439.37 ps
NAND-n436: 1008.41 ps
INP-n437: 397.87 ps
NAND-n438: 1008.41 ps
INP-n439: 401.26 ps
NAND-n440: 1008.41 ps
INP-n441: 434.34 ps
NAND-n442: 1008.41 ps
INP-n443: 467.41 ps
NAND-n444: 1008.41 ps
INP-n445: 500.49 ps
NAND-n446: 1008.41 ps
INP-n447: 574.70 ps
NAND-n448: 1008.41 ps
INP-n449: 614.41 ps
NAND-n450: 1008.41 ps
INP-n451: 654.10 ps
NAND-n452: 1008.41 ps
INP-n453: 693.79 ps
NAND-n454: 1008.41 ps
INP-n455: 733.48 ps
NAND-n456: 1008.41 ps
INP-n457: 773.18 ps
NAND-n458: 1008.41 ps
INP-n459: 812.87 ps
NAND-n460: 1008.41 ps
INP-n461: 852.56 ps
NAND-n462: 1008.41 ps
INP-n463: 892.26 ps
NAND-n464: 1008.41 ps
INP-n465: 931.95 ps
NAND-n466: 1008.41 ps
INP-n467: 971.64 ps
NAND-n468: 1008.41 ps
INP-n469: 1011.33 ps
NAND-n470: 1013.88 ps
INP-n471: 1051.03 ps
NAND-n472: 982.74 ps
INP-n473: 1083.33 ps
NAND-n474: 764.09 ps
INP-n475: 1074.62 ps
NAND-n476: 1008.41 ps
INP-n477: 1047.51 ps
NAND-n478: 1008.41 ps
INP-n479: 930.38 ps
NAND-n480: 488.25 ps
INP-n481: 896.66 ps
NAND-n482: 514.55 ps
INP-n483: 1305.31 ps
NAND-n484: 181.02 ps
INP-n485: 562.30 ps
NAND-n486: 783.17 ps
INP-n487: 1008.11 ps
NAND-n488: 429.49 ps
INP-n489: 909.15 ps
NAND-n490: 860.40 ps
INP-n491: 748.06 ps
NAND-n492: 593.95 ps
INP-n493: 1156.71 ps
NAND-n494: 344.43 ps
INP-n495: 822.36 ps
NAND-n496: 521.01 ps
INP-n497: 1082.41 ps
NAND-n498: 338.43 ps
INP-n499: 626.23 ps
NAND-n500: 866.26 ps
INP-n501: 673.76 ps
NAND-n502: 703.94 ps
INP-n503: 488.25 ps
NAND-n504: 860.40 ps
INP-n505: 1231.01 ps
NAND-n506: 254.06 ps
INP-n507: 970.96 ps
NAND-n508: 435.80 ps
INP-n509: 525.16 ps
NAND-n510: 833.78 ps
INP-n511: 933.81 ps
NAND-n512: 463.03 ps
INP-n513: 1268.16 ps
NAND-n514: 208.26 ps
INP-n515: 785.21 ps
NAND-n516: 548.25 ps
INP-n517: 1119.56 ps
NAND-n518: 311.19 ps
INP-n519: 628.92 ps
NAND-n520: 860.40 ps
INP-n521: 636.61 ps
NAND-n522: 749.63 ps
INP-n523: 1344.66 ps
NAND-n524: 231.37 ps
INP-n525: 1045.26 ps
NAND-n526: 384.13 ps
INP-n527: 488.25 ps
NAND-n528: 860.40 ps
INP-n529: 710.91 ps
NAND-n530: 639.31 ps
INP-n531: 1193.86 ps
NAND-n532: 304.74 ps
INP-n533: 859.51 ps
NAND-n534: 554.25 ps
INP-n535: 1344.66 ps
NAND-n536: 214.05 ps
INP-n537: 599.46 ps
NAND-n538: 755.93 ps
INP-n539: -25.01 ps
NOT-n540: 1893.28 ps
INP-n541: 263.24 ps
NAND-n542: 1164.41 ps
INP-n543: 1909.87 ps
NOT-n544: 960.18 ps
INP-n545: 266.08 ps
NAND-n546: 1581.97 ps
INP-n547: 266.08 ps
NAND-n548: 1581.97 ps
INP-n549: 266.08 ps
NAND-n550: 1581.97 ps
INP-n551: 266.08 ps
NAND-n552: 1581.97 ps
INP-n553: 266.08 ps
NAND-n554: 1581.97 ps
INP-n555: 266.08 ps
NAND-n556: 1581.97 ps
INP-n557: 266.08 ps
NAND-n558: 1581.97 ps
INP-n559: 291.00 ps
NAND-n560: 1581.97 ps
INP-n561: 291.00 ps
NAND-n562: 1563.53 ps
INP-n563: 291.00 ps
NAND-n564: 1563.53 ps
INP-n565: 266.08 ps
NAND-n566: 1563.53 ps
INP-n567: 266.08 ps
NAND-n568: 1536.09 ps
INP-n569: 266.08 ps
NAND-n570: 1501.95 ps
INP-n571: 266.08 ps
NAND-n572: 1501.95 ps
INP-n573: 266.08 ps
NAND-n574: 1501.95 ps
INP-n575: 266.08 ps
NAND-n576: 1501.95 ps
INP-n577: 266.08 ps
NAND-n578: 1496.08 ps
INP-n579: 266.08 ps
NAND-n580: 1456.39 ps
INP-n581: 266.08 ps
NAND-n582: 1416.70 ps
INP-n583: 266.08 ps
NAND-n584: 1377.00 ps
INP-n585: 291.00 ps
NAND-n586: 1337.31 ps
INP-n587: 291.00 ps
NAND-n588: 1297.62 ps
INP-n589: 291.00 ps
NAND-n590: 1257.92 ps
INP-n591: 266.08 ps
NAND-n592: 1218.23 ps
INP-n593: 266.08 ps
NAND-n594: 1178.54 ps
INP-n595: 266.08 ps
NAND-n596: 1138.85 ps
INP-n597: 266.08 ps
NAND-n598: 1099.15 ps
INP-n599: 266.08 ps
NAND-n600: 1059.46 ps
INP-n601: 266.08 ps
NAND-n602: 1019.77 ps
INP-n603: 266.08 ps
NAND-n604: 980.08 ps
INP-n605: 400.90 ps
NAND-n606: 928.88 ps
INP-n607: 304.36 ps
NAND-n608: 919.10 ps
INP-n609: 1240.45 ps
NAND-n610: 1107.14 ps
INP-n611: 1253.86 ps
NAND-n612: 1107.14 ps
INP-n613: 1147.48 ps
AND-n614: 1133.65 ps
INP-n615: 1147.48 ps
AND-n616: 1133.65 ps
INP-n617: 1147.48 ps
AND-n618: 1133.65 ps
INP-n619: 1147.48 ps
AND-n620: 1133.65 ps
INP-n621: 1147.48 ps
AND-n622: 1133.65 ps
INP-n623: 1186.69 ps
AND-n624: 1133.65 ps
INP-n625: 1186.69 ps
AND-n626: 1133.65 ps
INP-n627: 1186.69 ps
AND-n628: 1133.65 ps
INP-n629: 1147.48 ps
AND-n630: 1133.65 ps
INP-n631: 1147.48 ps
AND-n632: 1133.65 ps
INP-n633: 1147.48 ps
AND-n634: 1133.65 ps
INP-n635: 1147.48 ps
AND-n636: 1133.65 ps
INP-n637: 1147.48 ps
AND-n638: 1133.65 ps
INP-n639: 1147.48 ps
AND-n640: 1133.65 ps
INP-n641: 1147.48 ps
AND-n642: 1133.65 ps
INP-n643: 1147.48 ps
AND-n644: 1133.65 ps
INP-n645: 1147.48 ps
AND-n646: 1133.65 ps
INP-n647: 1147.48 ps
AND-n648: 1133.65 ps
INP-n649: 1147.48 ps
AND-n650: 1133.65 ps
INP-n651: 1147.48 ps
AND-n652: 1133.65 ps
INP-n653: 1186.69 ps
AND-n654: 1133.65 ps
INP-n655: 1186.69 ps
AND-n656: 1133.65 ps
INP-n657: 1186.69 ps
AND-n658: 1133.65 ps
INP-n659: 1147.48 ps
AND-n660: 1133.65 ps
INP-n661: 1147.48 ps
AND-n662: 1133.65 ps
INP-n663: 1147.48 ps
AND-n664: 1133.65 ps
INP-n665: 1147.48 ps
AND-n666: 1133.65 ps
INP-n667: 1147.48 ps
AND-n668: 1133.65 ps
INP-n669: 1147.48 ps
AND-n670: 1133.65 ps
INP-n671: 1147.48 ps
AND-n672: 1133.65 ps
INP-n673: 694.98 ps
NAND-n674: 762.10 ps
INP-n675: 970.32 ps
NAND-n676: 762.10 ps
INP-n677: 941.82 ps
NAND-n678: 762.10 ps
INP-n679: 946.78 ps
NAND-n680: 762.10 ps
INP-n681: 992.49 ps
NAND-n682: 762.10 ps
INP-n683: 984.35 ps
NAND-n684: 762.10 ps
INP-n685: 992.11 ps
NAND-n686: 762.10 ps
INP-n687: 1032.53 ps
NAND-n688: 762.10 ps
INP-n689: 1037.49 ps
NAND-n690: 762.10 ps
INP-n691: 1083.20 ps
NAND-n692: 762.10 ps
INP-n693: 1075.06 ps
NAND-n694: 762.10 ps
INP-n695: 1082.82 ps
NAND-n696: 762.10 ps
INP-n697: 1161.42 ps
NAND-n698: 762.10 ps
INP-n699: 1201.12 ps
NAND-n700: 753.02 ps
INP-n701: 1207.99 ps
NAND-n702: 707.66 ps
INP-n703: 1171.88 ps
NAND-n704: 661.96 ps
INP-n705: 1174.53 ps
NAND-n706: 648.24 ps
INP-n707: 1286.41 ps
NAND-n708: 667.95 ps
INP-n709: 1309.13 ps
NAND-n710: 622.27 ps
INP-n711: 1275.56 ps
NAND-n712: 557.64 ps
INP-n713: 1268.11 ps
NAND-n714: 517.94 ps
INP-n715: 1263.80 ps
NAND-n716: 472.59 ps
INP-n717: 1253.70 ps
NAND-n718: 426.89 ps
INP-n719: 1250.52 ps
NAND-n720: 413.17 ps
INP-n721: 1245.17 ps
NAND-n722: 432.88 ps
INP-n723: 1279.61 ps
NAND-n724: 393.19 ps
INP-n725: 1320.52 ps
NAND-n726: 341.68 ps
INP-n727: 1340.07 ps
NAND-n728: 327.95 ps
INP-n729: 1407.67 ps
NAND-n730: 302.14 ps
INP-n731: 1153.28 ps
NAND-n732: 288.42 ps
INP-n733: 950.90 ps
NAND-n734: 457.86 ps
INP-n735: 938.35 ps
NAND-n736: 437.16 ps
INP-n737: 694.98 ps
NAND-n738: 762.10 ps
INP-n739: 970.32 ps
NAND-n740: 762.10 ps
INP-n741: 941.82 ps
NAND-n742: 762.10 ps
INP-n743: 946.78 ps
NAND-n744: 762.10 ps
INP-n745: 992.49 ps
NAND-n746: 762.10 ps
INP-n747: 984.35 ps
NAND-n748: 762.10 ps
INP-n749: 992.11 ps
NAND-n750: 762.10 ps
INP-n751: 1032.53 ps
NAND-n752: 762.10 ps
INP-n753: 1037.49 ps
NAND-n754: 762.10 ps
INP-n755: 1083.20 ps
NAND-n756: 762.10 ps
INP-n757: 1075.06 ps
NAND-n758: 762.10 ps
INP-n759: 1082.82 ps
NAND-n760: 762.10 ps
INP-n761: 1161.42 ps
NAND-n762: 762.10 ps
INP-n763: 1201.12 ps
NAND-n764: 753.02 ps
INP-n765: 1207.99 ps
NAND-n766: 707.66 ps
INP-n767: 1171.88 ps
NAND-n768: 661.96 ps
INP-n769: 1174.53 ps
NAND-n770: 648.24 ps
INP-n771: 1286.41 ps
NAND-n772: 667.95 ps
INP-n773: 1309.13 ps
NAND-n774: 622.27 ps
INP-n775: 1275.56 ps
NAND-n776: 557.64 ps
INP-n777: 1268.11 ps
NAND-n778: 517.94 ps
INP-n779: 1263.80 ps
NAND-n780: 472.59 ps
INP-n781: 1253.70 ps
NAND-n782: 426.89 ps
INP-n783: 1250.52 ps
NAND-n784: 413.17 ps
INP-n785: 1245.17 ps
NAND-n786: 432.88 ps
INP-n787: 1279.61 ps
NAND-n788: 393.19 ps
INP-n789: 1320.52 ps
NAND-n790: 341.68 ps
INP-n791: 1340.07 ps
NAND-n792: 327.95 ps
INP-n793: 1407.67 ps
NAND-n794: 302.14 ps
INP-n795: 1153.28 ps
NAND-n796: 288.42 ps
INP-n797: 950.90 ps
NAND-n798: 457.86 ps
INP-n799: 938.35 ps
NAND-n800: 437.16 ps
INP-n801: 694.98 ps
NAND-n802: 564.72 ps
INP-n803: 970.32 ps
NAND-n804: 564.72 ps
INP-n805: 941.82 ps
NAND-n806: 564.72 ps
INP-n807: 946.78 ps
NAND-n808: 564.72 ps
INP-n809: 992.49 ps
NAND-n810: 564.72 ps
INP-n811: 984.35 ps
NAND-n812: 564.72 ps
INP-n813: 992.11 ps
NAND-n814: 564.72 ps
INP-n815: 1032.53 ps
NAND-n816: 564.72 ps
INP-n817: 1037.49 ps
NAND-n818: 564.72 ps
INP-n819: 1083.20 ps
NAND-n820: 564.72 ps
INP-n821: 1075.06 ps
NAND-n822: 564.72 ps
INP-n823: 1082.82 ps
NAND-n824: 564.72 ps
INP-n825: 1161.42 ps
NAND-n826: 564.72 ps
INP-n827: 1201.12 ps
NAND-n828: 564.72 ps
INP-n829: 1207.99 ps
NAND-n830: 564.72 ps
INP-n831: 1171.88 ps
NAND-n832: 564.72 ps
INP-n833: 1174.53 ps
NAND-n834: 537.96 ps
INP-n835: 1286.41 ps
NAND-n836: 537.96 ps
INP-n837: 1309.13 ps
NAND-n838: 537.96 ps
INP-n839: 1275.56 ps
NAND-n840: 535.30 ps
INP-n841: 1268.11 ps
NAND-n842: 495.60 ps
INP-n843: 1263.80 ps
NAND-n844: 450.25 ps
INP-n845: 1253.70 ps
NAND-n846: 404.55 ps
INP-n847: 1250.52 ps
NAND-n848: 390.83 ps
INP-n849: 1245.17 ps
NAND-n850: 410.54 ps
INP-n851: 1279.61 ps
NAND-n852: 370.85 ps
INP-n853: 1320.52 ps
NAND-n854: 319.34 ps
INP-n855: 1340.07 ps
NAND-n856: 305.61 ps
INP-n857: 1407.67 ps
NAND-n858: 279.80 ps
INP-n859: 1153.28 ps
NAND-n860: 266.08 ps
INP-n861: 950.90 ps
NAND-n862: 491.27 ps
INP-n863: 938.35 ps
NAND-n864: 470.57 ps
INP-n865: 270.76 ps
NAND-n866: 1024.26 ps
INP-n867: 1868.17 ps
NAND-n868: 1024.26 ps
INP-n869: 1794.58 ps
NAND-n870: 1024.26 ps
INP-n871: 1754.89 ps
NAND-n872: 1024.26 ps
INP-n873: 1701.05 ps
NAND-n874: 1024.26 ps
INP-n875: 1618.81 ps
NAND-n876: 1024.26 ps
INP-n877: 1536.57 ps
NAND-n878: 1024.26 ps
INP-n879: 1468.50 ps
NAND-n880: 1024.26 ps
INP-n881: 1428.81 ps
NAND-n882: 1024.26 ps
INP-n883: 1374.97 ps
NAND-n884: 1024.26 ps
INP-n885: 1306.90 ps
NAND-n886: 1024.26 ps
INP-n887: 1253.06 ps
NAND-n888: 1035.53 ps
INP-n889: 1184.99 ps
NAND-n890: 1035.53 ps
INP-n891: 1145.30 ps
NAND-n892: 1035.53 ps
INP-n893: 1091.46 ps
NAND-n894: 1035.53 ps
INP-n895: 1023.39 ps
NAND-n896: 1035.53 ps
INP-n897: 969.55 ps
NAND-n898: 1035.53 ps
INP-n899: 902.14 ps
NAND-n900: 1035.53 ps
INP-n901: 884.92 ps
NAND-n902: 1035.53 ps
INP-n903: 830.00 ps
NAND-n904: 1035.53 ps
INP-n905: 336.60 ps
NAND-n906: 1117.29 ps
INP-n907: 342.70 ps
NAND-n908: 1117.29 ps
INP-n909: 328.30 ps
NAND-n910: 1117.29 ps
INP-n911: 338.95 ps
NAND-n912: 1117.29 ps
INP-n913: 344.59 ps
NAND-n914: 1117.29 ps
INP-n915: 351.09 ps
NAND-n916: 1117.29 ps
INP-n917: 384.17 ps
NAND-n918: 1117.29 ps
INP-n919: 369.82 ps
NAND-n920: 1117.29 ps
INP-n921: 372.97 ps
NAND-n922: 1117.29 ps
INP-n923: 406.05 ps
NAND-n924: 1117.29 ps
INP-n925: 439.13 ps
NAND-n926: 1117.29 ps
INP-n927: 397.63 ps
NAND-n928: 1117.29 ps
INP-n929: 401.02 ps
NAND-n930: 1117.29 ps
INP-n931: 434.10 ps
NAND-n932: 1117.29 ps
INP-n933: 467.17 ps
